name,city,state,type,fees_ug_inr,placement_avg_lpa,rating,nirf_rank
NIT Warangal,Warangal,Telangana,NIT,167000,14.2,8,28
VNIT Nagpur,Nagpur,Maharashtra,NIT,162000,9,7.6,44
IIIT Allahabad,Prayagraj,Uttar Pradesh,IIIT,200000,18.5,8,87
IIIT Bangalore,Bangalore,Karnataka,IIIT,250000,20,8.5,69
IIIT Bhopal,Bhopal,Madhya Pradesh,IIIT,175000,11,7.5,
IIIT Bhubaneswar,Bhubaneswar,Odisha,IIIT,175000,11,7.5,
IIIT Delhi,New Delhi,Delhi,IIIT,280000,22,8.4,63
IIIT Gwalior,Gwalior,Madhya Pradesh,IIIT,195000,22,8.2,95
IIIT Hyderabad,Hyderabad,Telangana,IIIT,340000,25,8.7,38
IIIT Jabalpur,Jabalpur,Madhya Pradesh,IIIT,180000,16.5,7.9,80
IIIT Kalyani,Kalyani,West Bengal,IIIT,170000,10,7.3,
IIIT Kancheepuram,Chennai,Tamil Nadu,IIIT,175000,12,7.7,
IIIT Kota,Kota,Rajasthan,IIIT,175000,10,7.2,
IIIT Lucknow,Lucknow,Uttar Pradesh,IIIT,175000,12,7.5,
IIIT Nagpur,Nagpur,Maharashtra,IIIT,175000,11,7.4,
IIIT Pune,Pune,Maharashtra,IIIT,200000,16.8,7.8,
IIIT Ranchi,Ranchi,Jharkhand,IIIT,170000,10,7.3,
IIIT Sonepat,Sonepat,Haryana,IIIT,170000,10,7.2,
IIIT Sri City,Chittoor,Andhra Pradesh,IIIT,175000,11,7.4,
IIIT Surat,Surat,Gujarat,IIIT,170000,10,7.2,
IIIT Una,Una,Himachal Pradesh,IIIT,165000,9.5,7,
IIIT Vadodara,Vadodara,Gujarat,IIIT,170000,10,7.3,
IIM Ahmedabad,Ahmedabad,Gujarat,IIM,2630000,35.22,9.8,1
IIM Amritsar,Amritsar,Punjab,IIM,965000,28,7.4,64
IIM Bangalore,Bangalore,Karnataka,IIM,2630000,34.88,9.7,2
IIM Bodh Gaya,Bodh Gaya,Bihar,IIM,1400000,14.5,7.3,31
IIM Calcutta,Kolkata,West Bengal,IIM,2500000,34.23,9.6,7
IIM Indore,Indore,Madhya Pradesh,IIM,2100000,27,9.2,8
IIM Jammu,Jammu,Jammu & Kashmir,IIM,1053980,15.48,7.5,35
IIM Kashipur,Kashipur,Uttarakhand,IIM,1600000,18.5,7.9,23
IIM Kozhikode,Kozhikode,Kerala,IIM,2350000,28.05,9.3,3
IIM Lucknow,Lucknow,Uttar Pradesh,IIM,2200000,32.3,9.4,5
IIM Mumbai,Mumbai,Maharashtra,IIM,1700000,25,9,6
IIM Nagpur,Nagpur,Maharashtra,IIM,1600000,17.5,7.8,25
IIM Raipur,Raipur,Chhattisgarh,IIM,1800000,18,7.9,15
IIM Ranchi,Ranchi,Jharkhand,IIM,1800000,19.73,8.2,18
IIM Rohtak,Rohtak,Haryana,IIM,676045,36,8,19
IIM Sambalpur,Sambalpur,Odisha,IIM,1400000,16,7.6,34
IIM Shillong,Shillong,Meghalaya,IIM,1400000,26.44,8.5,38
IIM Sirmaur,Paonta Sahib,Himachal Pradesh,IIM,2293000,14,7.2,51
IIM Tiruchirappalli,Tiruchirappalli,Tamil Nadu,IIM,1700000,21,8.3,16
IIM Udaipur,Udaipur,Rajasthan,IIM,1700000,19,8,21
IIM Visakhapatnam,Visakhapatnam,Andhra Pradesh,IIM,1500000,16.61,7.8,29
BITS Goa,Zuarinagar,Goa,BITS,580000,22,8.3,45
BITS Hyderabad,Hyderabad,Telangana,BITS,580000,21,8.3,55
BITS Pilani,Pilani,Rajasthan,BITS,638175,25,8.7,11
AIIMS Bhopal,Bhopal,Madhya Pradesh,AIIMS,6900,8,8.5,25
AIIMS Bhubaneswar,Bhubaneswar,Odisha,AIIMS,6900,8,8.3,14
AIIMS Delhi,New Delhi,Delhi,AIIMS,7700,12,9.9,1
AIIMS Gorakhpur,Gorakhpur,Uttar Pradesh,AIIMS,6900,7,7.7,38
AIIMS Jodhpur,Jodhpur,Rajasthan,AIIMS,6900,8.5,8.4,16
AIIMS Kalyani,Kalyani,West Bengal,AIIMS,6900,7,7.7,40
AIIMS Mangalagiri,Mangalagiri,Andhra Pradesh,AIIMS,6900,7,7.6,45
AIIMS Nagpur,Nagpur,Maharashtra,AIIMS,6900,7.5,7.8,35
AIIMS Patna,Patna,Bihar,AIIMS,6900,7.5,8,27
AIIMS Raipur,Raipur,Chhattisgarh,AIIMS,6900,7.5,8,31
AIIMS Rishikesh,Rishikesh,Uttarakhand,AIIMS,6900,9,9,13
AAFT University of Media and Arts,,Chhattisgarh,Engineering,150000,6,6.5,
"ABES Engineering College, Ghaziabad",,Uttar Pradesh,Engineering,143700,7.8,7.9,
Abhilashi University,Mandi,Himachal Pradesh,Private,210000,4,8.4,
Achariya College of Engineering Technology,,Puducherry,Engineering,68000,5.4,6.3,
Acharya Nagarjuna University,Guntur,Andhra Pradesh,University,200000,7,7,59
Acharya Shri Chander College of Medical Sciences,Jammu,Jammu & Kashmir,Private,39000,6.5,6.5,
Acharya Shri Chander Institute of Nursing Education,Jammu,Jammu & Kashmir,Private,51000,6.5,6.5,
Acropolis Faculty of Management and Research,Indore,Madhya Pradesh,Private,55000,10.5,7,
"Acropolis Group of Institutions, Indore",,Madhya Pradesh,Engineering,73600,8.6,8.7,
Acropolis Institute of Technology & Research,,Madhya Pradesh,Engineering,75100,8,7.8,
"Adamas University, Kolkata",,West Bengal,Engineering,172800,7.8,8.2,
Aditya Engineering College,,Andhra Pradesh,Engineering,72000,7.4,7.8,
"Agnel Polytechnic, South Goa",,Goa,Engineering,37200,6,6.5,
Aisect College of Professional Studies,Indore,Madhya Pradesh,Private,15000,6.5,6.5,
Ajay Kumar Garg Engineering College,Ghaziabad,Uttar Pradesh,Private,142156,33.8,8.5,
AKGEC Ghaziabad,Ghaziabad,Uttar Pradesh,Private,350000,7,6.5,
AKS University,,Madhya Pradesh,Engineering,60000,6.9,7.3,
Alagappa University,Karaikudi,Tamil Nadu,University,200000,7,7,47
Aligarh Muslim University,Aligarh,Uttar Pradesh,University,13680,9,8,8
All India Institute of Medical Sciences,Bathinda,Punjab,Government,1628,6.5,7,
Allahabad University,Prayagraj,Uttar Pradesh,State University,12000,7,7.5,35
"Alliance College of Engineering and Design, Bangalore",,Karnataka,Engineering,225000,6.5,7.2,
"Alliance University, Bangalore",,Karnataka,Engineering,625000,7.6,8,
"Alpha College of Engineering & Technology, Pondicherry",,Puducherry,Engineering,29000,3.8,4.7,
Amal Jyothi College of Engineering,,Kerala,Engineering,100000,6.9,7.6,
Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College of Pharmacy,Bela,Punjab,Private,111000,6.5,6.5,
Amar Singh Government Degree College,Srinagar,Jammu & Kashmir,Government,120000,6.5,7,
Ambala Institute of Hotel Management,Ambala,Haryana,Private,128915,6.5,6.5,
Ambedkar Institute of Higher Education,Patna,Bihar,Private,700575,6.5,6.5,
Amity Business School,Noida,Uttar Pradesh,Private,690000,26.3,8.5,
Amity School of Architecture and Planning,Noida,Uttar Pradesh,Private,279000,17,8,
Amity School of Engineering & Technology,Noida,Uttar Pradesh,Private,206500,35.9,8.5,
Amity School of Hospitality,Noida,Uttar Pradesh,Private,170000,6,6,
Amity University,Gautam Budh Nagar,Uttar Pradesh,University,116000,7,7,32
Amity University Gurgaon,Gurugram,Haryana,Private,230000,7,7.7,
Amity University Jaipur,Jaipur,Rajasthan,Private,180000,7,8,
Amity University Kolkata,Kolkata,West Bengal,Private,207000,7,8.2,
Amity University Mumbai,Mumbai,Maharashtra,Private,222000,7,8.1,
Amity University Noida,Noida,Uttar Pradesh,Private,311000,6,8.2,22
"Amity University, Gwalior",,Madhya Pradesh,Engineering,164000,8,8.6,
"Amity University, Patna",,Bihar,Engineering,159000,7.8,7.8,
"Amity University, Raipur",,Chhattisgarh,Engineering,108000,6.3,7.8,
"Amity University, Ranchi",,Jharkhand,Engineering,135000,7,7.8,
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,University,380000,7.5,8,7
Amritsar College of Engineering and Technology,Amritsar,Punjab,Private,100200,40,7.4,
AMU Aligarh,Aligarh,Uttar Pradesh,Central University,25000,6.5,8,9
Ananta Institute of Hotel Management & Allied studies,Jaipur,Rajasthan,Private,440000,6.5,6.5,
Andhra University,Visakhapatnam,Andhra Pradesh,University,10000,7.2,7,25
Anna University,Chennai,Tamil Nadu,University,50000,8.3,7,13
Anugrah Narayan Magadh Medical College and Hospital,Gaya,Bihar,Government,27000,6.5,7,
"Anurag University, Hyderabad",,Telangana,Engineering,135500,8,8.3,
Apex Institute of Technology,,Chandigarh,Engineering,210000,6,6.5,
Apex Professional University,,Arunachal Pradesh,Engineering,70000,7.5,7.4,
APG Shimla University,Shimla,Himachal Pradesh,Private,84000,25.7,8.5,
APJ Abdul Kalam Technological University,,Kerala,Engineering,29000,7.5,7.8,
"Arka Jain University, Jamshedpur",,Jharkhand,Engineering,93000,7.5,8.1,
Army College of Medical Science,New Delhi,Delhi NCR,Private,503830,6.5,6.5,
Army Institute of Law,Mohali,Punjab,Private,192805,16.1,8,
Army Institute of Technology,,Maharashtra,Engineering,180197,8.7,8.3,
Arni University,Kangra,Himachal Pradesh,Private,30000,6.5,6.5,
"Arni University, Kangra",,Himachal Pradesh,Engineering,105000,7.7,8,
"Artex Informatic Solutions, Chandigarh",,Chandigarh,Engineering,150000,6,6.5,
Arunachal University of Studies,,Arunachal Pradesh,Engineering,25000,8.2,8.3,
"Arunodaya University, Itanagar",,Arunachal Pradesh,Engineering,150000,7.5,8.4,
Aryabhatta College,New Delhi,Delhi NCR,Government,19320,12,7.5,
Aryabhatta Knowledge University,Patna,Bihar,Government,100000,6.5,8,
Asansol Engineering College,,West Bengal,Engineering,134068,7.6,7.8,
Ashoka Law College,Kathua,Jammu & Kashmir,Private,350000,6.5,6.5,
Ashoka University,Sonepat,Haryana,Private,1700000,12,8.5,
Assam Don Bosco University,,Assam,Engineering,157000,6.4,7.8,
Assam Down Town University,,Assam,Engineering,130000,7.8,8.2,
Assam Engineering College,,Assam,Engineering,11000,7,7.5,
"Assam University, Silchar",,Assam,Engineering,59375,6.6,7.5,
Atal Bihari Vajpayee Indian Institute of Information,,Madhya Pradesh,Engineering,75070,7.7,7.6,
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,Government,216250,6.5,7,
Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar Lohia Hospital,New Delhi,Delhi NCR,Government,54500,6.5,7,
Atal Medical and Research University,Mandi,Himachal Pradesh,Government,60000,6.5,7,
"Auro University, Surat",,Gujarat,Engineering,121000,7.2,8.3,
"Avantika University, Ujjain",,Madhya Pradesh,Engineering,222500,9.5,9.1,
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,Tamil Nadu,University,200000,6,7,98
Awadhesh Pratap Singh University,Rewa,Madhya Pradesh,Private,8234,6.5,7.1,
B K School of Business Management,Ahmedabad,Gujarat,Government,20000,6.5,7,
"B. Borooah College, Guwahati",,Assam,Engineering,150000,5.8,7.6,
B. J. Medical College,Ahmedabad,Gujarat,Government,25000,6.5,7,
B.S. Abdur Rahman Crescent Institute of Science,,Tamil Nadu,Engineering,85000,7.7,8.2,
B.S.M. P.G. College,Roorkee,Uttarakhand,Private,5000,6.5,6.5,
Baba Banda Singh Bahadur Engineering College,Fatehgarh Sahib,Punjab,Private,102000,7,8.1,
Baba Farid College of Engineering and Technology,Bathinda,Punjab,Private,87410,12,7.5,
Baba Farid Group of Institutions,Bathinda,Punjab,Private,55000,6.5,6.5,
Baba Farid University of Health Sciences,Faridkot,Punjab,Government,447000,6.5,7,
Baba Ghulam Shah Badshah University,,Jammu,Engineering,249300,5.9,7.2,
Baba Raghav Das Medical College,Gorakhpur,Uttar Pradesh,Government,189000,6.5,7,
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,University,200000,7.5,7,33
Baddi University of Emerging Sciences and Technologies,Baddi,Himachal Pradesh,Private,140000,6.5,7.1,
Bahra University,Solan,Himachal Pradesh,Private,165000,6.5,7.6,
Bakhtiyarpur College of Engineering,Patna,Bihar,Engineering,150000,6.5,7.7,
Baldev Institute of Management Technology and Sciences,Jammu,Jammu & Kashmir,Private,350000,6.5,6.5,
Banaras Hindu University,Varanasi,Uttar Pradesh,University,2300,11.1,8.2,5
Banasthali Vidyapith,Banasthali,Rajasthan,University,89000,6.5,7,67
"Banasthali Vidyapith, Jaipur",,Rajasthan,Engineering,203500,7.9,8.5,
Bangalore Medical College and Research Institute,Bangalore,Karnataka,Government,75300,6.5,7,
Bangalore University,Bengaluru,Karnataka,University,200000,8,7,81
Bannari Amman Institute of Technology,,Tamil Nadu,Engineering,60000,8.1,8.3,
Bapatla Engineering College,,Andhra Pradesh,Engineering,75000,6.5,7.5,
Barak Valley Engineering College,,Assam,Engineering,150000,4.6,6.2,
Basaveshwar Engineering College,,Karnataka,Engineering,65340,6.6,7.7,
Baselios Thomas I Catholicose College of Engineering,,Kerala,Engineering,85000,6.5,7.4,
BBK DAV College for Women,Amritsar,Punjab,Private,70380,6.5,6.5,
"Bells Institute of Management & Technology, Shimla",,Himachal Pradesh,Engineering,74700,4,6.8,
Bengal College of Engineering,,West Bengal,Engineering,98500,5.1,5.7,
Bennett University,Greater Noida,Uttar Pradesh,Private,350000,7,7.2,65
"Bennett University, Greater Noida",,Uttar Pradesh,Engineering,350000,8.3,8.6,
BFIT Group of Institutions,,Uttarakhand,Engineering,35000,7.1,7.5,
Bhagalpur College of Engineering,Bhagalpur,Bihar,Government,112500,13,7.5,
Bhagwant Global University,Garhwal,Uttarakhand,Private,34750,6.5,6.5,
Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,University,200000,7,7,73
Bharathiar University,Coimbatore,Tamil Nadu,University,200000,7.5,7,26
Bharathidasan University,Tiruchirappalli,Tamil Nadu,University,200000,7,7,36
Bharathiyar College of Engineering and Technology,,Puducherry,Engineering,150000,4.5,6,
Bharati Vidyapeeth,Pune,Maharashtra,University,200000,8,7,78
Bharati Vidyapeeth Deemed University,,Maharashtra,Engineering,120000,7.7,7.8,
Bhargava College of Engineering & Technology,,Jammu,Engineering,150000,6,6.5,
Bhargava Law College,Jammu,Jammu & Kashmir,Private,350000,6.5,6.5,
Bhargava Paramedical College,Jammu,Jammu & Kashmir,Private,350000,6.5,6.5,
Bhartiya College of Education,Udhampur,Jammu & Kashmir,Private,40000,6.5,6.5,
Bhilai Institute of Technology,,Chhattisgarh,Engineering,77750,6.4,7.3,
Bhojia Dental College and Hospital,Baddi,Himachal Pradesh,Private,202387,6.5,6.5,
BHU Varanasi,Varanasi,Uttar Pradesh,Central University,20000,8,8.3,5
Bhubaneswar Engineering College,,Odisha,Engineering,252000,7.3,7.5,
Biju Patnaik University of Technology,,Odisha,Engineering,150000,4.8,6.2,
"Bineswar Brahma Engineering College, Kokrajhar",,Assam,Engineering,12800,7.2,7.3,
"Bipin Tripathi Kumaon Institute of Technology, Almora",,Uttarakhand,Engineering,71150,4.6,6.4,
"Bir Tikendrajit University, Imphal",,Manipur,Engineering,160000,6,6.5,
Birla Institute of Technology,Ranchi,Jharkhand,University,434000,9.1,7,82
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,University,200000,25,9,19
Birla Institute of Technology Extension Centre,,Jharkhand,Engineering,285000,8,7.8,
Birla Institute of Technology Mesra,Ranchi,Jharkhand,Private,350000,12,6.5,
Birsa Institute of Technology,,Jharkhand,Engineering,20362,7.2,7.7,
Birsa Munda Government Medical College,Shahdol,Madhya Pradesh,Government,85020,6.5,7,
Biyani Group of Colleges,Jaipur,Rajasthan,Private,75000,18,8,
BMS College of Engineering,Bangalore,Karnataka,Private,229110,7.9,8.2,
BMS School of Architecture,Bangalore,Karnataka,Private,301100,6.5,6.5,
BPS Govt. Medical College for Women,Sonepat,Haryana,Government,103050,6.5,7,
Bundelkhand Institute of Engineering & Technology,,Uttar Pradesh,Engineering,61800,6.2,7.1,
Bundelkhand Medical College,Sagar,Madhya Pradesh,Government,114000,6.5,7,
BV Raju Institute of Technology,,Telangana,Engineering,120000,8.4,8.5,
"C. U. Shah University, Wadhwan",,Gujarat,Engineering,77800,7.4,7.7,
"C. V. Raman Global University, Bhubaneswar",,Odisha,Engineering,119000,7.5,7.6,
Calcutta University,Kolkata,West Bengal,University,200000,8,7,18
Calicut University,Malappuram,Kerala,University,200000,7,7,89
Cambridge Institute of Technology,,Jharkhand,Engineering,71250,4.8,5.5,
Capital University,,Jharkhand,Engineering,110000,8.1,8.2,
Career College,Bhopal,Madhya Pradesh,Private,20500,6.5,6.5,
Career Point University,Hamirpur,Himachal Pradesh,Private,48000,6.5,7.5,
Central Agricultural University,,Manipur,Engineering,2980,6.8,7.5,
Central Institute of plastics engineering & Technology-,,Gujarat,Engineering,65000,7.5,7.5,
Central Institute of Technology,,Assam,Engineering,111200,5.3,7,
Central Institute of Temperate Horticultural,Srinagar,Jammu & Kashmir,Government,120000,6.5,7,
Central University of Haryana,Mahendragarh,Haryana,Government,18616,6.5,7,
Central University of Himachal Pradesh,Kangra,Himachal Pradesh,Government,23600,6.5,7,
Central University Of Jammu,Jammu,Jammu & Kashmir,Government,24430,10,7,
"Central University of Jammu, Jammu",,Jammu,Engineering,11715,7.3,8.2,
Central University of Kashmir,Srinagar,Jammu & Kashmir,Government,12440,6.5,7.8,
Central University of Punjab,Bathinda,Punjab,University,200000,7.5,7,83
Central University of Tamil Nadu,Tiruvarur,Tamil Nadu,University,200000,7,7,99
"Centre for Distance and Online Education, Panjab University",Chandigarh,Chandigarh,Government,22900,6.5,7,
Centurion University of Technology and Management,,Andhra Pradesh,Engineering,125000,7.4,7.8,
"CEPT University, Ahmedabad",,Gujarat,Engineering,198000,8.1,8.2,
CGC University,Chandigarh,Chandigarh,Private,178000,6.5,6.5,
"Chaibasa Engineering College, Techno India Group, Chaibasa",,Jharkhand,Engineering,150000,6.4,7.2,
Chaitanya Bharathi Institute of Technology,,Telangana,Engineering,134000,8.6,8.2,
Chandigarh Business School of Administration Landran,Mohali,Punjab,Private,100200,50,8.5,
Chandigarh College of Hotel Management and Catering Technology Landran,Mohali,Punjab,Private,480000,45.5,8.5,
Chandigarh Group of Colleges,,Punjab,Engineering,94000,8.6,8.1,
Chandigarh Group of Colleges Landran,Mohali,Punjab,Private,166000,50,8.5,
Chandigarh Institute of Hotel Management and Catering Technology,Chandigarh,Chandigarh,Government,300000,6.5,7,
Chandigarh University,Mohali,Punjab,University,224500,6.73,7.8,20
Chandigarh University Online,Mohali,Punjab,Private,79000,6.5,6.5,
Chandragupt Institute of Management,Patna,Bihar,Private,385000,16.42,8,
Charutar Vidya Mandal University Anand,Vallabh Vidyanagar,Gujarat,Private,186000,15.4,8,
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,Government,25225,6.5,7,
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,Palampur,Himachal Pradesh,Government,43818,6.5,7,
Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,University,200000,7,7,79
Chhatrapati Shivaji Institute of Technology,,Chhattisgarh,Engineering,75000,6.9,7.2,
Chhattisgarh Engineering College,,Chhattisgarh,Engineering,60000,5,5.8,
Chhotu Ram Rural Institute Of Technology,,Delhi NCR,Engineering,33450,8.1,8.4,
Chitkara College of Pharmacy,Patiala,Punjab,Private,200000,6.5,6.5,
Chitkara School of Hospitality,Chandigarh,Chandigarh,Private,220000,6.5,6.5,
Chitkara University,Rajpura,Punjab,University,430000,8,7,90
Chitkara University Online,Patiala,Punjab,Private,200000,6.5,6.5,
Chitkara University Punjab,Rajpura,Punjab,Private,350000,8,6.5,
"Chitkara University, Chitkara School of Mass Communication",Patiala,Punjab,Private,140000,6.5,6.5,
"Chitkara University, Chitkara School of Planning and Architecture",Patiala,Punjab,Private,200000,6.5,6.5,
"Chitkara University, Solan",,Himachal Pradesh,Engineering,160000,8.8,8.2,
Chouksey Engineering College,,Chhattisgarh,Engineering,72230,7,8,
"Christ College of Engineering and Technology, Pondicherry",,Puducherry,Engineering,116000,6.5,7,
Christ University,Bengaluru,Karnataka,University,45000,5,7,60
Christ University Bangalore,Bangalore,Karnataka,Private,154000,7,8.3,
Christian College of Engineering and Technology,,Chhattisgarh,Engineering,76900,5.8,6.8,
Christian Dental College,Ludhiana,Punjab,Private,220000,6.5,6.5,
Christian Medical College,Ludhiana,Punjab,Private,3300000,10,6.5,
CIPET: Centre for Skilling and Technical Support,,Odisha,Engineering,32680,6.9,6.7,
Cluster University of Jammu,Jammu,Jammu & Kashmir,Government,47230,6.5,7,
Cluster University of Srinagar,,Jammu,Engineering,150000,7.2,8.2,
CMC Vellore,Vellore,Tamil Nadu,Medical,100000,8,7,
"CMJ University, Ri-Bhoi",,Meghalaya,Engineering,375000,8.2,8.3,
CMR Engineering College,,Telangana,Engineering,75000,9,8.8,
Cochin University of Science and Technology,Cochin,Kerala,University,46600,9.5,8,34
"Cochin University of Science and Technology, School",,Kerala,Engineering,86040,8.2,8.3,
COEP Pune,Pune,Maharashtra,Government,75000,8,7.8,57
Coimbatore Institute of Technology,,Tamil Nadu,Engineering,23670,8.4,8,
College of Agricultural Engineering and Post Harvest Technology,,Sikkim,Engineering,4280,6.6,6.8,
"College of Engineering Thalassery, Kannur",,Kerala,Engineering,38250,6.6,7.2,
"College of Engineering, Trivandrum",,Kerala,Engineering,200000,8.4,8.4,
"College of Technology, GB Pant University of",,Uttarakhand,Engineering,65344,6,7,
"College of Technology, GB Pant University of Agriculture & Technology",Pantnagar,Uttarakhand,Government,57164,6,6,
College of Vocational Studies,New Delhi,Delhi NCR,Government,18800,23.05,8.5,
Columbia Institute of Engineering and Technology,,Chhattisgarh,Engineering,59940,8.7,8.1,
"CSIR-Institute of Minerals and Materials Technology,",,Odisha,Engineering,150000,7.3,7,
CT Institute of Hospitality Management,Jalandhar,Punjab,Private,240000,6.5,6.5,
Culinary College of Hotel Management and Catering Technology,Dehradun,Uttarakhand,Private,70000,6.5,6.5,
"CVR College of Engineering, Ibrahimpatnam, Rangareddi",,Telangana,Engineering,121650,8.6,8.3,
DAIICT Gandhinagar,Gandhinagar,Gujarat,Private,375000,13,8.8,
Darbhanga College of Engineering,Darbhanga,Bihar,Government,29130,17.39,6.7,
Darbhanga Medical College,Darbhanga,Bihar,Government,102150,6.5,7,
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,University,200000,7,7,42
Daulat Ram College,New Delhi,Delhi NCR,Government,32100,23.05,8.5,
DAV Centenary College,Faridabad,Haryana,Private,31269,6.5,6.5,
DAV College For Women,Firozpur,Punjab,Private,52046,6.5,6.5,
DAV PG College Dehradun,Dehradun,Uttarakhand,Private,30000,6.5,6.5,
DAV University,Jalandhar,Punjab,Private,86400,32,8.5,
"DAV University, Jalandhar",,Punjab,Engineering,136000,8,7.9,
Dayalbagh Educational Institute,Agra,Uttar Pradesh,Government,5150,6.5,7,
"Dayalbagh Educational Institute Faculty of Engineering, Agra",,Uttar Pradesh,Engineering,51300,8.2,8,
Dayanand Medical College and Hospital,Ludhiana,Punjab,Private,486450,6.5,6.5,
Dayanand Women's Training College,Dehradun,Uttarakhand,Private,3046,6.5,6.5,
Dayananda Sagar College of Engineering,,Karnataka,Engineering,96106,7.7,8,
DBS Global University,Dehradun,Uttarakhand,Private,467000,24,8.5,
Deenbandhu Chhotu Ram University of Science and Technology,Sonepat,Haryana,Government,60055,6.5,7,
Defence Institute of Advanced Technology,,Maharashtra,Engineering,153600,8.6,8.8,
